rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
823,6063.1210,3.5,0.62,1.3,0.26,9e-05,74.0,3422.138091,500.982442,299.017558,214.273919,59.360000,1.000000,12.366925,115.147925,0.269183,4.361550,0.000000,1.458176
824,6063.1370,5.1,0.27,0.75,0.39,0.0001,74.0,3391.090852,977.499945,177.499945,213.849733,59.000000,1.000000,10.011423,117.173678,0.364744,5.734391,0.000000,0.969281
825,6064.8087,3.2,0.78,1.3,0.26,0.00011,74.0,3395.295460,999.799467,199.799467,213.976757,58.980000,1.000000,9.762828,115.228064,0.377894,5.692894,0.000000,1.147488
826,6065.4487,5.1,0.27,0.9,0.45,0.00011,74.0,3376.585698,1032.497558,232.497558,213.593345,58.840000,1.000000,9.890014,116.101742,0.415970,5.547981,0.000000,0.922736
827,6065.8235,3.2,0.78,1.3,0.26,0.0001,74.0,3395.295460,999.799467,199.799467,213.976757,58.980000,1.000000,9.762828,115.228064,0.377894,5.692894,0.000000,1.160173
828,6066.4713,5.1,0.27,0.9,0.45,0.0001,74.0,3376.585698,1032.497558,232.497558,213.593345,58.840000,1.000000,9.890014,116.101742,0.415970,5.547981,0.000000,0.935518
829,6067.1098,3.2,0.78,1.3,0.26,9e-05,74.0,3395.295460,999.799467,199.799467,213.976757,58.980000,1.000000,9.762828,115.228064,0.377894,5.692894,0.000000,1.176252
830,6067.7656,5.1,0.27,0.9,0.45,9e-05,74.0,3376.585698,1032.497558,232.497558,213.593345,58.840000,1.000000,9.890014,116.101742,0.415970,5.547981,0.000000,0.951698
831,6068.1153,2.9,0.62,1.15,0.26,0.00011,73.0,3431.639292,527.080385,272.919615,214.454673,59.480000,1.000000,12.233033,114.068989,0.309990,4.944121,0.000000,1.516542
832,6069.1129,2.9,0.62,1.15,0.26,0.0001,73.0,3431.639292,527.080385,272.919615,214.454673,59.480000,1.000000,12.233033,114.068989,0.309990,4.944121,0.000000,1.529012
833,6070.3758,2.9,0.62,1.15,0.26,9e-05,73.0,3431.639292,527.080385,272.919615,214.454673,59.480000,1.000000,12.233033,114.068989,0.309990,4.944121,0.000000,1.544798
834,6072.3864,3.2,0.7,0.9,0.45,0.0001,78.0,3503.535453,665.200124,134.799876,216.013429,60.080000,1.000000,11.106972,128.606151,0.278130,5.451407,0.000000,0.605833
835,6074.3192,3.5,0.78,1.15,0.32,0.00011,75.0,3429.913775,515.355385,284.644615,214.377316,59.400000,1.000000,12.508796,118.918876,0.289969,4.429211,0.000000,1.099481
836,6075.3338,3.5,0.78,1.15,0.32,0.0001,75.0,3429.913775,515.355385,284.644615,214.377316,59.400000,1.000000,12.508796,118.918876,0.289969,4.429211,0.000000,1.112163
837,6076.6230,3.5,0.78,1.15,0.32,9e-05,75.0,3429.913775,515.355385,284.644615,214.377316,59.400000,1.000000,12.508796,118.918876,0.289969,4.429211,0.000000,1.128278
