rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
980,5221.8744,4.15,0.35,1.98,0.63,6e-05,75.2,3416.839727,861.079936,61.079936,214.315264,59.220000,1.000000,10.370359,114.243101,0.315849,5.293451,0.000000,0.999456
981,5222.0478,3.6,0.85,1.82,0.61,9e-05,76.8,3429.907992,853.302540,53.302540,214.577331,59.280000,1.000000,10.325350,119.475831,0.353228,5.240460,0.000000,0.682639
982,5222.1183,4.0,0.3,1.82,0.63,6e-05,75.2,3417.067497,918.640326,118.640326,214.346468,59.220000,1.000000,10.117984,115.670804,0.336583,5.048913,0.000000,0.969793
983,5222.2276,4.0,0.6,1.5,0.5,8e-05,80.0,3583.614015,809.233696,9.233696,217.795428,60.860000,1.000000,9.835497,138.659138,0.272057,4.983765,0.000000,0.487133
984,5222.4360,3.6,0.8,1.98,0.61,7e-05,76.8,3440.273390,688.976621,111.023379,214.707492,59.400000,1.000000,11.130123,120.308386,0.315270,4.816070,0.000000,0.893292
985,5222.4850,4.4,0.45,1.5,0.5,8e-05,80.0,3582.317643,810.879606,10.879606,217.744266,60.840000,1.000000,9.823965,138.661452,0.274451,4.979573,0.000000,0.488392
986,5222.4902,4.0,0.45,1.5,0.5,8e-05,80.0,3583.648628,809.143370,9.143370,217.794823,60.860000,1.000000,9.836238,138.658565,0.271897,4.984349,0.000000,0.486950
987,5222.6553,4.4,1.1,1.5,0.5,8e-05,80.0,3579.870602,812.427581,12.427581,217.717199,60.820000,1.000000,9.816394,138.664600,0.277205,4.976328,0.000000,0.489657
988,5223.5380,4.0,0.35,1.5,0.5,8e-05,80.0,3583.619767,809.363739,9.363739,217.795474,60.860000,1.000000,9.835245,138.658179,0.271927,4.984737,0.000000,0.486810
989,5223.8012,3.6,0.85,1.82,0.61,8e-05,76.8,3429.907992,853.302540,53.302540,214.577331,59.280000,1.000000,10.325350,119.475831,0.353228,5.240460,0.000000,0.704557
990,5223.8318,4.4,0.35,1.5,0.5,8e-05,80.0,3582.281794,811.161884,11.161884,217.745087,60.840000,1.000000,9.822716,138.660942,0.274490,4.980071,0.000000,0.488213
991,5223.9493,3.6,0.85,1.98,0.61,7e-05,76.8,3440.304189,688.547878,111.452122,214.706560,59.400000,1.000000,11.132625,120.313113,0.315188,4.815306,0.000000,0.893635
992,5224.0072,4.4,1.0,1.5,0.5,8e-05,80.0,3579.835385,812.710701,12.710701,217.718008,60.820000,1.000000,9.815136,138.664134,0.277244,4.976828,0.000000,0.489477
